protein_extract_50kgy_sample1,protein_extract_50kgy_sample2,protein_extract_50kgy_sample3,protein_extract_50kgy_sample4,protein_extract_50kgy_sample5,protein_extract_50kgy_sample6,protein_extract_50kgy_sample7,protein_extract_50kgy_sample8,protein_extract_50kgy_sample9
0.00038,0.0006699999999999999,0.00053,0.0002675,0.00011,0.00031000000000000005,0.0004575,0.0006724999999999999,0.0006349999999999999
0.0005175000000000001,0.0009375000000000001,0.0007375,0.0003175,0.00011250000000000002,0.00024250000000000004,0.0004025,0.0005149999999999999,0.0005025
0.0007099999999999999,0.00108,0.000905,0.0004525,0.00017500000000000003,0.0002925,0.000405,0.000375,0.00045250000000000005
0.0007174999999999999,0.0009699999999999999,0.0008849999999999999,0.000645,0.00034250000000000003,0.000455,0.000505,0.0003725,0.0006050000000000001
0.0005975,0.0007075,0.0007925,0.00074,0.0005025,0.0006550000000000001,0.000675,0.0005225,0.00081
0.0006025,0.0007225,0.0007425,0.0007275000000000001,0.000535,0.0005875,0.0008175,0.0006625,0.0008975
0.0006425,0.000895,0.00069,0.0007125,0.00058,0.00038,0.0006950000000000001,0.00063,0.0007475
0.0005625000000000001,0.0007999999999999999,0.000615,0.0006875,0.0007524999999999999,0.000445,0.000365,0.00051,0.0004375
0.0005275,0.0007899999999999999,0.0006275,0.000725,0.000925,0.00067,0.000165,0.0003325,0.000225
0.00058,0.0011325,0.00076,0.0008525,0.0010125,0.0006799999999999999,0.0002525,0.000205,0.0003325
0.0006025,0.0011975,0.0008375,0.00083,0.00105,0.00064,0.0005574999999999999,0.0004475,0.0006900000000000001
0.000635,0.000945,0.0007199999999999999,0.000675,0.001055,0.000785,0.0008575,0.00089,0.0009925000000000001
0.0007099999999999999,0.0009149999999999999,0.0005574999999999999,0.0006250000000000001,0.000965,0.0009649999999999999,0.0008525,0.0010125,0.0009625
0.00068,0.0010725,0.00055,0.000725,0.000795,0.0009725000000000001,0.00058,0.0008,0.00077
0.000535,0.0010725,0.0006575000000000001,0.000835,0.0006624999999999999,0.00084,0.0004175,0.0006225,0.0007300000000000001
0.000415,0.00112,0.0007725,0.0009624999999999999,0.000665,0.000605,0.00045000000000000004,0.0005225,0.0007325000000000001
0.00038500000000000003,0.001245,0.0008825,0.0010675,0.0008374999999999999,0.00043999999999999996,0.000565,0.0004625,0.0006749999999999999
0.0003925,0.00112,0.0009225000000000001,0.00103,0.001075,0.000655,0.0006774999999999999,0.0005625,0.0006349999999999999
