wavenumber,2.5kGy_sn48_sample1,2.5kGy_sn48_sample2,2.5kGy_sn48_sample3,2.5kGy_sn48_sample4,2.5kGy_sn48_sample5,2.5kGy_sn48_sample6,2.5kGy_sn48_sample7,2.5kGy_sn48_sample8,2.5kGy_sn48_sample9
1203.14052,0.00785,0.00805,0.00801,0.00666,0.0654,0.00712,0.00823,0.05692,0.00751
1201.08034,0.00659,0.00677,0.0067,0.00558,0.06423,0.00593,0.00684,0.05586,0.00617
1199.02017,0.0052,0.00535,0.00531,0.0044,0.06289,0.00461,0.00538,0.05481,0.00486
1196.96,0.0038,0.00402,0.00395,0.00316,0.06154,0.00337,0.00418,0.0538,0.0036
1194.89983,0.00248,0.00296,0.00276,0.00197,0.06046,0.00224,0.0032,0.05289,0.00248
1192.83966,0.00145,0.00202,0.00181,0.00105,0.05976,0.00131,0.00215,0.0521,0.00161
1190.77948,0.00071,0.00122,0.00107,0.00052,0.05922,0.00073,0.00108,0.05148,0.00103
1188.71931,0.0002,0.00059,0.00054,0.00027,0.05888,0.00032,0.00032,0.05109,0.00058
1186.65914,0.0,0.00018,0.00017,0.0001,0.05883,0.0,0.0,0.05088,0.00019
1184.59897,8e-05,0.0,0.0,0.0,0.05896,-0.00013,-9e-05,0.05078,0.0
1182.5388,0.00034,-4e-05,-6e-05,1e-05,0.05917,-5e-05,-2e-05,0.05083,1e-05
1180.47862,0.00073,0.00022,6e-05,0.0003,0.05961,0.00022,0.00027,0.05117,0.00033
1178.41845,0.00141,0.0008,0.00059,0.00092,0.06042,0.00069,0.00095,0.05197,0.00107
1176.35828,0.0025,0.00169,0.00186,0.00199,0.06175,0.00148,0.00204,0.05317,0.00229
1174.29811,0.00403,0.0031,0.00366,0.00356,0.06349,0.00291,0.00344,0.05474,0.00395
1172.23793,0.00612,0.00498,0.00563,0.00539,0.06555,0.00489,0.00519,0.05666,0.00595
1170.17776,0.00849,0.00697,0.00761,0.00703,0.06777,0.00686,0.00724,0.0585,0.00806
1168.11759,0.0104,0.00862,0.00917,0.0083,0.06956,0.00846,0.00912,0.05996,0.00988
1166.05742,0.01151,0.00968,0.01012,0.00924,0.07062,0.00954,0.01023,0.06096,0.01102
1163.99725,0.01202,0.01024,0.01077,0.00994,0.07134,0.01017,0.0107,0.06148,0.01148
1161.93707,0.01235,0.01057,0.01125,0.01042,0.07201,0.0106,0.01113,0.0618,0.01171
1159.8769,0.01286,0.01092,0.01166,0.0107,0.07262,0.01092,0.01171,0.06218,0.0122
1157.81673,0.01355,0.01135,0.01224,0.01101,0.07335,0.01122,0.01222,0.06275,0.01286
1155.75656,0.01427,0.0119,0.01286,0.01146,0.07425,0.01161,0.0125,0.06346,0.01337
1153.69639,0.015,0.01263,0.01344,0.01199,0.07514,0.01212,0.01295,0.06417,0.01388
1151.63621,0.01574,0.01344,0.01415,0.01265,0.07607,0.01278,0.01378,0.06488,0.01477
