protein_extract_scan48_sample1,protein_extract_scan48_sample2,protein_extract_scan48_sample3,protein_extract_scan48_sample4,protein_extract_scan48_sample5,protein_extract_scan48_sample6,protein_extract_scan48_sample7,protein_extract_scan48_sample8,protein_extract_scan48_sample9,protein_extract_scan48_sample10,protein_extract_scan48_sample11,protein_extract_scan48_sample12,protein_extract_scan48_sample13,protein_extract_scan48_sample14,protein_extract_scan48_sample15,protein_extract_scan48_sample16,protein_extract_scan48_sample17,protein_extract_scan48_sample18,protein_extract_scan48_sample19,protein_extract_scan48_sample20,protein_extract_scan48_sample21,protein_extract_scan48_sample22,protein_extract_scan48_sample23,protein_extract_scan48_sample24,protein_extract_scan48_sample25,protein_extract_scan48_sample26,protein_extract_scan48_sample27,protein_extract_scan48_sample28,protein_extract_scan48_sample29,protein_extract_scan48_sample30
0.000575,0.0004525,0.0004725,0.00040750000000000004,0.000485,0.00057,0.00059,0.0004525,0.0005175,0.000465,0.00026500000000000004,0.0003125,0.0009599999999999999,0.00081,0.0007950000000000001,0.0006225,0.00058,0.000575,0.0007675000000000001,0.0005625,0.000655,0.00037749999999999996,0.0004125,0.0007725000000000001,0.000685,0.00046499999999999997,0.0006349999999999999,0.00029,0.00030250000000000003,0.00046
0.000565,0.00044249999999999997,0.0005524999999999999,0.0005025,0.0006825,0.000865,0.0006550000000000001,0.00057,0.0007225,0.0005875,0.0004025,0.000495,0.0006900000000000001,0.0005974999999999999,0.0006425,0.00059,0.0007125,0.0007125,0.0005149999999999999,0.00038,0.0003175,0.00054,0.0007125,0.0010225,0.0008225,0.0006299999999999999,0.0007574999999999999,0.00051,0.0005175,0.00064
0.0007700000000000001,0.000565,0.000675,0.0006900000000000001,0.00106,0.0011099999999999999,0.0006175,0.0005475,0.0006725,0.0007475,0.0005725,0.0007574999999999999,0.00039749999999999996,0.0003325,0.00033749999999999996,0.00073,0.0008275,0.0007650000000000001,0.0004125,0.000425,0.000235,0.0005275000000000001,0.0006575,0.0008025,0.0006575,0.0005125,0.0008025,0.0007825,0.000705,0.0008125
0.0009199999999999999,0.0006850000000000001,0.00077,0.0007025,0.0011775,0.001105,0.0004325,0.0004525,0.0005775,0.0006675,0.0005449999999999999,0.0007375000000000001,0.00031249999999999995,0.0002175,0.000185,0.0007175,0.000755,0.0006975,0.0005525,0.000595,0.0003325,0.0003225,0.00039999999999999996,0.000325,0.000435,0.0002325,0.0005925,0.0008675,0.0006725,0.0007025000000000001
0.0008424999999999999,0.0007050000000000001,0.00081,0.000495,0.0010149999999999998,0.0009675,0.00026,0.0004625,0.0006825,0.00032,0.0003075,0.0004125,0.000445,0.00025749999999999997,0.000255,0.00056,0.000625,0.0006450000000000001,0.0007574999999999999,0.0006850000000000001,0.0003675,0.00018250000000000002,0.00034500000000000004,0.0001275,0.000445,0.0002075,0.00038500000000000003,0.000835,0.0006525,0.0006200000000000001
0.0006875,0.0006674999999999999,0.0006575,0.00037,0.00083,0.00079,0.0002625,0.0005225,0.0007025,9.75e-05,0.0001475,0.0002175,0.000605,0.0003725,0.00036250000000000003,0.0008025,0.00069,0.0007750000000000001,0.0007800000000000001,0.0007175,0.00041250000000000005,0.0003975,0.00042750000000000004,0.0003125,0.0005225000000000001,0.00035499999999999996,0.0006025,0.0007149999999999999,0.0006775,0.0007175
0.000625,0.0006075,0.000465,0.000415,0.000695,0.000625,0.00039749999999999996,0.0005375,0.0005675,0.00024500000000000005,0.00027749999999999997,0.00034,0.0007875,0.000555,0.0005225,0.0010975,0.0007825,0.0009,0.000725,0.0006925,0.00054,0.0007075,0.0005325,0.00057,0.0006425,0.0005275,0.0008525,0.0005149999999999999,0.0005,0.000725
0.000665,0.0005725,0.000405,0.00035750000000000007,0.00052,0.00045,0.000435,0.000605,0.00051,0.00056,0.0006025,0.0005825,0.000995,0.0006925,0.0007199999999999999,0.00118,0.0007574999999999999,0.000905,0.0006625,0.0005825,0.0005975,0.0007500000000000001,0.0005549999999999999,0.000605,0.000775,0.0006425000000000001,0.0008325,0.00034,0.00021250000000000002,0.0005425
0.0008024999999999999,0.00061,0.0005025,0.00026000000000000003,0.00043999999999999996,0.0004575,0.00027,0.00077,0.000675,0.0008774999999999999,0.0009475,0.0008575,0.0010775000000000001,0.0006175,0.0007775,0.001095,0.0006525000000000001,0.0008150000000000001,0.0006574999999999999,0.0005025,0.0005974999999999999,0.0006575,0.0006624999999999999,0.000605,0.000755,0.0006525000000000001,0.000545,0.000275,0.0001025,0.0003725
0.000875,0.0006574999999999999,0.0006425,0.00035,0.000635,0.0007925,0.00022500000000000002,0.0008275,0.0008575,0.0011224999999999998,0.0011775000000000002,0.001145,0.0009524999999999999,0.00043750000000000006,0.0006625000000000001,0.0008550000000000001,0.000545,0.0006625,0.0008100000000000001,0.0006000000000000001,0.0006799999999999999,0.0006900000000000001,0.000965,0.0008075,0.0006075,0.0005525,0.0001975,0.0003375,0.0002025,0.0003925
