protein_extract_scan64_sample1,protein_extract_scan64_sample2,protein_extract_scan64_sample3,protein_extract_scan64_sample4,protein_extract_scan64_sample5,protein_extract_scan64_sample6,protein_extract_scan64_sample7,protein_extract_scan64_sample8,protein_extract_scan64_sample9,protein_extract_scan64_sample10,protein_extract_scan64_sample11,protein_extract_scan64_sample12,protein_extract_scan64_sample13,protein_extract_scan64_sample14,protein_extract_scan64_sample15,protein_extract_scan64_sample16,protein_extract_scan64_sample17,protein_extract_scan64_sample18,protein_extract_scan64_sample19,protein_extract_scan64_sample20,protein_extract_scan64_sample21,protein_extract_scan64_sample22,protein_extract_scan64_sample23,protein_extract_scan64_sample24,protein_extract_scan64_sample25,protein_extract_scan64_sample26,protein_extract_scan64_sample27,protein_extract_scan64_sample28,protein_extract_scan64_sample29,protein_extract_scan64_sample30
0.0007925,0.00063,0.0005524999999999999,0.00017999999999999998,0.0002675,9e-05,0.00039999999999999996,0.0004975,0.00029,0.00015500000000000003,6.25e-05,8.999999999999999e-05,0.00056,0.000585,0.0008049999999999999,0.00035749999999999996,0.000295,0.000535,0.00024250000000000004,0.0002475,0.0002725,0.0005825000000000001,0.0004975,0.0006425,0.00019,0.0001375,0.0002075,0.0005399999999999999,0.00039500000000000006,0.00036
0.0008,0.0007975,0.0007175,0.00019999999999999998,0.0003025,0.0001375,0.0004025,0.00055,0.00043999999999999996,0.00023,0.0001675,0.0002025,0.0006625,0.0006925,0.0007199999999999999,0.0003725,0.00015250000000000002,0.00041000000000000005,0.00017,0.00025,0.0001775,0.000595,0.000505,0.0006025,0.000235,0.00022,0.0002675,0.0006125,0.0004325,0.00042750000000000004
0.0007725000000000001,0.00075,0.0006225,0.000255,0.00032250000000000003,0.0003225,0.0004575,0.00057,0.0004975,0.000315,0.00027,0.0003225,0.0006925000000000001,0.0007650000000000001,0.0007425,0.0003525,0.000125,0.00031499999999999996,9.5e-05,0.00013250000000000002,6.25e-05,0.0006875,0.00059,0.0005875,0.000245,0.000265,0.00027,0.0004975,0.00034,0.0003775
0.00073,0.0006075,0.0004225000000000001,0.000285,0.0003325,0.00054,0.00051,0.00056,0.0004575,0.00043749999999999995,0.00033,0.000405,0.0006525,0.000785,0.00092,0.00042,0.0002875,0.0004175,0.00014750000000000003,9e-05,5.75e-05,0.0007300000000000001,0.0007224999999999999,0.0006375,0.00031749999999999997,0.00026,0.0003325,0.00030750000000000005,0.00021250000000000002,0.000285
0.0005499999999999999,0.0006349999999999999,0.00044750000000000004,0.00032500000000000004,0.000375,0.0007525,0.0005075,0.0006325,0.0005499999999999999,0.0005275,0.000275,0.0004225,0.000635,0.0007824999999999999,0.000975,0.0006475,0.0004525,0.000675,0.00039000000000000005,0.0002575,0.0001375,0.00068,0.00072,0.0006575,0.0004125,0.0002475,0.00035999999999999997,0.0003325,0.000305,0.000255
0.0006050000000000001,0.0008550000000000001,0.000685,0.00047000000000000004,0.0005075,0.0008775,0.00052,0.000705,0.000605,0.0005375,0.000275,0.00040249999999999997,0.00062,0.0007725,0.0008775,0.0006075,0.0004225,0.0006175,0.00063,0.0004975,0.000295,0.00061,0.00062,0.0005875,0.00041,0.00027749999999999997,0.00034250000000000003,0.0004975,0.00048249999999999996,0.000295
0.0008575,0.0009925000000000001,0.00082,0.000565,0.0006,0.0008100000000000001,0.0006225,0.0007275,0.0005300000000000001,0.00049,0.000375,0.00036,0.0006674999999999999,0.0008449999999999999,0.0009649999999999999,0.000215,0.0002475,0.000225,0.0007224999999999999,0.0006475000000000001,0.00049,0.000495,0.0005075,0.0004825000000000001,0.00031250000000000006,0.0002975,0.00036,0.0006075,0.00053,0.00034750000000000004
0.0006575000000000001,0.00092,0.000715,0.000445,0.0005099999999999999,0.000695,0.00074,0.0008175,0.0006825,0.0004375,0.000375,0.00034,0.0008025,0.000905,0.0011025,0.0001,0.0001525,0.0001225,0.0007025,0.0006175,0.000575,0.000325,0.0003275,0.0003775,0.00026,0.000305,0.0003525,0.0006299999999999999,0.0005149999999999999,0.0003125
0.0003525,0.0007725,0.00048499999999999997,0.0002825,0.00039000000000000005,0.0006425000000000001,0.0007675,0.000855,0.0008825,0.00042750000000000004,0.00033999999999999997,0.0003875,0.0009074999999999999,0.00081,0.00108,0.00027249999999999996,0.00021500000000000002,0.00026,0.0006325,0.0004875,0.0005375,0.00030500000000000004,0.0002925,0.0003725,0.0003025,0.00035,0.00035250000000000006,0.0006000000000000001,0.00046,0.0002725
0.00030500000000000004,0.0006724999999999999,0.0003475,0.00030000000000000003,0.0004325,0.0007650000000000001,0.00066,0.0007775,0.0008975000000000001,0.00040249999999999997,0.00027749999999999997,0.00039,0.00089,0.0007199999999999999,0.0009550000000000001,0.0004525,0.00034,0.00037999999999999997,0.0006399999999999999,0.0003975,0.0005025,0.0005075,0.00048,0.0005,0.000315,0.00033999999999999997,0.0002875,0.0006825,0.00049,0.00041
